MasterObjectID,objectid,parentid,location,mining_district,identifier,additional_locations,objecttype_name,objectsubtype_name,author,maptype_name,title,description,date,type_name,format_id,source_name,identifier_name,language_name,rights_name,rights_link,display_name,object_location,image_small,image_thumb,subject
655,bea062,,Hand Mine,Argenta,,,Map,Map,W. M. Hand,Cross Section,Cross Section N54291 Hand Mine,"Geologic, assay, and workings notes projected on vertical East- West plane at elevation 6000 foot. Methods and techniques by K.S. Herness.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_08_07_Beaverhead_Underground_Cross_Sec_N54291_Hand_Mine_K_S_Herness.jpg,/objects/small/001_08_07_beaverhead_underground_cross_sec_n54291_hand_mine_k_s_herness_sm.jpg,/objects/thumbs/001_08_07_beaverhead_underground_cross_sec_n54291_hand_mine_k_s_herness_th.jpg,Abandoned
656,bea063,,Hand Mine,Argenta,,,Map,Map,,Geologic Map,Geologic Plan of 5885 Level Hand Mine,Geologic notes with numbered vein notes around workings.,,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_08_08_Beaverhead_Underground_Geologic_Pan_of_5885_Level_Hand_Mine.jpg,/objects/small/001_08_08_beaverhead_underground_geologic_pan_of_5885_level_hand_mine_sm.jpg,/objects/thumbs/001_08_08_beaverhead_underground_geologic_pan_of_5885_level_hand_mine_th.jpg,Abandoned
657,bea064,,Hand Mine,Argenta,,,Map,Map,,Plan View Map,Plan Map 5700 Level Hand Mine,Proposed Exploration with current workings and veins,,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_08_10_Beaverhead_Underground_Plan_Proprosed_Exploration_5700_Level_Hand_Mine.jpg,/objects/small/001_08_10_beaverhead_underground_plan_proprosed_exploration_5700_level_hand_mine_sm.jpg,/objects/thumbs/001_08_10_beaverhead_underground_plan_proprosed_exploration_5700_level_hand_mine_th.jpg,Abandoned
658,bea065,,Polaris,Polaris,,,Map,Map,Bill Hand,Assay Map,Plan Assay Map of 6775 Level,Underground workings and assay map. Property of Midnite Mines Inc. ,2/1/1975,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_09_01_Beaverhead_Cross_Section_Assay_Map_Polaris_Mine_6775_Level_B_Hand_1975.jpg,/objects/small/001_09_01_beaverhead_cross_section_assay_map_polaris_mine_6775_level_b_hand_1975_sm.jpg,/objects/thumbs/001_09_01_beaverhead_cross_section_assay_map_polaris_mine_6775_level_b_hand_1975_th.jpg,Abandoned
659,bea066,,Polaris,Polaris,,,Map,Map,,Underground Map,Cross Section 570 Level Polaris ,"Geology with probable ore, multiple marked levels with a 'Main Pit' Level",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_09_02_Beaverhead_Cross_Section_Polaris_570_Level.jpg,/objects/small/001_09_02_beaverhead_cross_section_polaris_570_level_sm.jpg,/objects/thumbs/001_09_02_beaverhead_cross_section_polaris_570_level_th.jpg,Abandoned
660,bea067,,Polaris,Polaris,,,Map,Map,"Harper, Macdonald and Co.",Underground Map,Plan of Underground Workings Polaris Mine,"Part of the Corney Report of 1918 Plate No. 2, including multiple levels and mining shafts.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_09_03_Beaverhead_Underground_Workings_Polaris_Mine_H_MacDonald_1918.jpg,/objects/small/001_09_03_beaverhead_underground_workings_polaris_mine_h_macdonald_1918_sm.jpg,/objects/thumbs/001_09_03_beaverhead_underground_workings_polaris_mine_h_macdonald_1918_th.jpg,Plan View Map;Abandoned;
661,bea068,,Polaris,Polaris,,,Map,Map,,Geologic Map,"Geologic Map of the 260 foot Level, Polaris Mine","Plate 3 of unknown report, containing underground workings and Meagher Fm.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_09_04_Beaverhead_Geologic_Map_260_Foot_Land_Polaris_Mine.jpg,/objects/small/001_09_04_beaverhead_geologic_map_260_foot_land_polaris_mine_sm.jpg,/objects/thumbs/001_09_04_beaverhead_geologic_map_260_foot_land_polaris_mine_th.jpg,Abandoned
663,bea069,,Golden Era,Argenta,,,Map,Map,G. C. Johnston,Plan View Map,Plan of the Golden Era Mine,"Plate 2 of unknown report including surveys, surrounding claims, underground workings, and cross sections.",4/1/1936,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_01_Beaverhead_Underground_Cross_Section_Golden_Era_Mine_Argenta_District_1936_Plate_2.jpg,/objects/small/001_10_01_beaverhead_underground_cross_section_golden_era_mine_argenta_district_1936_plate_2_sm.jpg,/objects/thumbs/001_10_01_beaverhead_underground_cross_section_golden_era_mine_argenta_district_1936_plate_2_th.jpg,Claim Map; Cross Section; Underground Map;Abandoned;
664,bea070,,Golden Era,Argenta,,,Map,Map,,Cross Section,Vertical Section of the Golden Era Mine,"Plat 4 of unknown report including the water table, shaft #1, #2, and #3.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_02_Beaverhead_Vertical_Section_Golden_Era_Mine_Plate_4.jpg,/objects/small/001_10_02_beaverhead_vertical_section_golden_era_mine_plate_4_sm.jpg,/objects/thumbs/001_10_02_beaverhead_vertical_section_golden_era_mine_plate_4_th.jpg,Abandoned
665,bea071,,Goldfinch,Argenta,,,Map,Map,,Plan View Map,Plan Map of Goldfinch Mine,"Assay and underground workings with 40, 60, 120, and 200 level with colors. Map 7 of unknown report",6/18/1937,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_06_Beaverhead_Underground_Cross_Section_Plan_Map_Map_7_Goldfinch_Mine_Argenta.jpg,/objects/small/001_10_06_beaverhead_underground_cross_section_plan_map_map_7_goldfinch_mine_argenta_sm.jpg,/objects/thumbs/001_10_06_beaverhead_underground_cross_section_plan_map_map_7_goldfinch_mine_argenta_th.jpg,Abandoned
